Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups . How many cups does she need to add ?,8.0 2.0,- number0 number1,6.0,"[8, 9, 10, 17, 18, 19, 26, 27, 28]",Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups .,How many cups does she need to add ?,Anderson is baking a cake . The recipe wants 3730 cups of flour . She already put in 3731 cups . How many cups does she need to add ?,Anderson은 케이크를 굽고 있다. 그 요리법은 3730컵의 밀가루를 원한다. 그녀는 이미 3731개의 컵을 넣었다. 그녀는 몇 개의 컵을 추가해야 합니까?,지민은 케이크를 굽고 있다 . 그 요리법은 number0컵의 밀가루를 원한다 . 그녀는 이미 number1개의 컵을 넣었다 . 그녀는 몇 개의 컵을 추가해야 합니까 ?,"[6, 7, 8, 12, 13, 14, 20, 21, 22]"
There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer . How many erasers are now there in total ?,139.0 118.0 131.0,+ number0 number2,270.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer .,How many erasers are now there in total ?,There are 3730 erasers and 3731 scissors in the drawer . Anderson placed 3732 erasers in the drawer . How many erasers are now there in total ?,3730개의 지우개와 3731개의 가위가 서랍안에 있다. 앤더슨은 3732개의 지우개를 서랍안에 놓았다. 현재 지우개가 총 몇 개 있습니까?,number0개의 지우개와 number1개의 가위가 서랍안에 있다 . 윤재는 number2개의 지우개를 서랍안에 놓았다 . 현재 지우개가 총 몇 개 있습니까 ?,"[0, 1, 2, 3, 7, 8, 9, 16, 17, 18]"
One pencil weighs number0 grams . How much do number1 pencils weigh ?,28.3 5.0,* number0 number1,141.5,"[2, 3, 4, 8, 9, 10, 9, 10, 11]",One pencil weighs number0 grams .,How much do number1 pencils weigh ?,One pencil weighs 3730 grams . How much do 3731 pencils weigh ?,연필 한 자루의 무게는 3730그램이다. 3731개의 연필은 무게가 얼마나 나갑니까?,연필 한 자루의 무게는 number0그램이다 . number1개의 연필은 무게가 얼마나 나갑니까 ?,"[3, 4, 5, 6, 7, 8, 9, 10]"
Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Zoe have total ?,8.0 4.0 6.0,* number0 + number1 number2,80.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,How many pieces of winter clothing did Zoe have total ?,Anderson was unboxing some of her old winter clothes . She found 3730 boxes of clothing and inside each box there were 3731 scarves and 3732 mittens . How many pieces of winter clothing did Anderson have total ?,Anderson은 그녀의 오래된 겨울 옷들 중 일부를 풀고 있었다. 그녀는 3730개의 옷상자를 발견했고 각각의 상자 안에는 3731개의 스카프와 3732개의 벙어리장갑이 있었다. 앤더슨은 겨울옷의 총 몇 조각을 가지고 있었는가?,윤재는 그녀의 오래된 겨울 옷들 중 일부를 풀고 있었다 . 그녀는 number0개의 옷상자를 발견했고 각각의 상자 안에는 number1개의 스카프와 number2개의 벙어리장갑이 있었다 . 윤재는 겨울옷의 총 몇 조각을 가지고 있었는가 ?,"[10, 11, 12, 16, 17, 18, 19, 20, 27, 28, 29]"
"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes . How many cantelopes did they grow in total ?",29.0 16.0 20.0,+ + number0 number1 number2,65.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16, 23, 24, 25]","Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes .",How many cantelopes did they grow in total ?,"Anderson grew 3730 cantelopes , Cyndia grew 3731 cantelopes , and Fred grew 3732 cantelopes . How many cantelopes did they grow in total ?","앤더슨은 3730개의 칸텔로프를, 신디아는 3731개의 칸텔로프를, 프레드는 3732개의 칸텔로프를 키웠습니다. 그들은 총 몇 개의 캉텔로프를 키웠나요?","서희는 number0개의 칸텔로프를 , 지민은 number1개의 칸텔로프를 , 지현은 number2개의 칸텔로프를 키웠습니다 . 그들은 총 몇 개의 캉텔로프를 키웠나요 ?","[0, 1, 2, 4, 5, 6, 8, 9, 10, 16, 17, 18]"
"Ashley sold number0 boxes of Samoas . How many cases of number1 boxes , plus extra boxes does Ashley need ?",12.0 12.0,/ number0 number0,1.0,"[1, 2, 3, 10, 11, 12, 17, 18, 19]",Ashley sold number0 boxes of Samoas .,"How many cases of number1 boxes , plus extra boxes does Ashley need ?","Anderson sold 3730 boxes of Samoas . How many cases of 3731 boxes , plus extra boxes does Anderson need ?",앤더슨은 사모아 3730박스를 팔았다. 앤더슨은 3731박스의 케이스와 여분의 박스가 몇 개나 필요합니까?,지현은 사모아 number0박스를 팔았다 . 지현은 number1박스의 케이스와 여분의 박스가 몇 개나 필요합니까 ?,"[1, 2, 3, 5, 6, 7, 10, 11, 12]"
Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 . How many blocks does Ann end with ?,13.0 9.0 44.0,+ number1 number2,53.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 20, 21, 22]",Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 .,How many blocks does Ann end with ?,Anderson has 3730 blocks . Cyndia has with 3731 blocks . Cyndia finds another 3732 . How many blocks does Cyndia end with ?,앤더슨은 3730개의 블록을 가지고 있다. 신디아는 3731개의 블록을 가지고 있다. 신디아는 또 다른 3732개의 블록을 찾는다. 신디아는 몇개의 블록으로 끝납니까?,유나는 number0개의 블록을 가지고 있다 . 지민은 number1개의 블록을 가지고 있다 . 지민은 또 다른 number2개의 블록을 찾는다 . 지민은 몇개의 블록으로 끝납니까 ?,"[0, 1, 2, 6, 7, 8, 14, 15, 16, 20, 21, 22]"
"Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though , how many extra flowers did Katie pick ?",3.0 9.0 10.0,- + number0 number1 number2,2.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17, 26, 27, 28]","Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though ,",how many extra flowers did Katie pick ?,"Anderson picked 3730 tulips and 3731 roses to make flower bouquets . If she only used 3732 of the flowers though , how many extra flowers did Anderson pick ?","앤더슨은 꽃다발을 만들기 위해 3730개의 튤립과 3731개의 장미를 골랐다. 만약 그녀가 단지 3732개의 꽃을 사용했다면, 앤더슨은 얼마나 많은 여분의 꽃을 골랐는가?","윤재는 꽃다발을 만들기 위해 number0개의 튤립과 number1개의 장미를 골랐다 . 만약 그녀가 단지 number2개의 꽃을 사용했다면 , 윤재는 얼마나 많은 여분의 꽃을 골랐는가 ?","[3, 4, 5, 6, 7, 12, 13, 14, 20, 21, 22]"
Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long . How much longer was the white line than the blue line ?,7.666666666666667 3.3333333333333335,- number0 number1,4.333333333333333,"[6, 7, 8, 18, 19, 20, 31, 32, 33]",Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long .,How much longer was the white line than the blue line ?,Anderson drew a white line that was 3730 inches long . Then he drew a blue line that was 3731 inches long . How much longer was the white line than the blue line ?,앤더슨은 3730인치의 흰색 선을 그었다. 그리고 그는 3731인치 길이의 파란 선을 그었다. 흰색 줄이 파란색 줄보다 얼마나 길었나요?,지훈은 number0인치의 흰색 선을 그었다 . 그리고 그는 number1인치 길이의 파란 선을 그었다 . 흰색 줄이 파란색 줄보다 얼마나 길었나요 ?,"[0, 1, 2, 7, 8, 9, 17, 18, 19]"
Lisa flew number0 miles at number1 miles per hour . How long did Lisa fly ?,256.0 32.0,/ number0 number1,8.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Lisa flew number0 miles at number1 miles per hour .,How long did Lisa fly ?,Anderson flew 3730 miles at 3731 miles per hour . How long did Anderson fly ?,앤더슨은 시속 3731마일로 3730마일을 비행했다. 앤더슨은 얼마나 오래 비행했습니까?,윤재는 시속 number1마일로 number0마일을 비행했다 . 윤재는 얼마나 오래 비행했습니까 ?,"[1, 2, 3, 4, 7, 8, 9]"
